,malignant cell,macrophage,mural cell,dendritic cell,microglial cell,monocyte,oligodendrocyte,endothelial cell,mature T cell,oligodendrocyte precursor cell,mast cell,B cell,plasma cell,natural killer cell,astrocyte,radial glial cell,neuron
PRKAR1A,0.3825321145028923,0.3200133439388282,0.9510136763703168,0.38894714414697196,0.2912596614775325,0.41646773646593177,0.6041451092141149,0.4859805554372949,0.24030859824499679,0.5969524482084859,0.45629347121747504,0.2027059224128723,0.08967129935647224,0.3178319613969005,0.38024209069378806,0.02659001013733205,0.9591049606149847
LMNA,0.42773149227144547,0.26053196538296874,0.7785104339986998,0.17484630364054715,0.1283908181731444,0.1892877733711621,0.7198863384882406,0.4583937622285704,0.15777067843092915,0.5482399946739597,0.5633097819924034,0.07460748591423035,0.09735812153015937,0.06247249388129609,0.2781451396170379,0.04021373547754298,0.03362877937880429
RPP25L,0.08539346974624121,0.06362388500362506,0.05064285179791901,0.07780107802376847,0.059806113424176015,0.07071774662526359,0.0684628273067103,0.04563353453135951,0.06575781733018983,0.10226224471003778,0.06594007200593922,0.057559642696380614,0.05375816871027846,0.09214319312079167,0.11669827334453604,0.11546752407833652,0.03458900885148482
JUN,1.58097242902,1.590758646864783,1.5308598187477531,0.7149439084352311,1.597595131293553,0.9650945099231184,1.3352413494974154,1.3022653702286697,1.2173435386881153,1.1540965745525975,1.2814963714047347,1.0339370334625244,0.8499764189436719,0.8351058346911959,0.5301661553410436,0.13329377271683562,0.30596316944469104
VRK1,0.071376869263736,0.035377900963985215,0.04869544337935777,0.06475724548861343,0.035037776225796784,0.03636788426257337,0.041368800920798664,0.026206532346546917,0.08642691431499545,0.0370622135458454,0.06728607032637814,0.061472373628616336,0.036682089022197925,0.12738142932165383,0.030750745982793024,0.2826866068617492,0.12347387183796275
CTDNEP1,0.22447358042462356,0.19658322145844728,0.23561235551941714,0.26626088221366284,0.1606825340613693,0.3059090405167973,0.2487984529701852,0.1492045240983212,0.10326853565169872,0.1184619013820925,0.0900076008514169,0.12014697666168213,0.07035012022181825,0.19071468542071413,0.09155632831113186,0.0227519856851467,0.08935917507518422
FERMT2,0.26622500562625595,0.022092171996382425,0.44134199621394926,0.004204628086698022,0.0067570255773509525,0.008117098913954212,0.17383673599195942,0.2568652511174399,0.0035815278500846387,0.2751126976743821,0.16364973447917294,0.003537965679168701,0.003893914443629605,0.0015386332705012284,0.4292478175521586,0.010397202361509135,0.1104332533749667
MET,0.016450479867255095,0.0024266469118643247,0.0027673820346299617,0.00020856002796647286,0.00027635877357057813,0.0013240075807440586,0.02555455409623751,0.003216461830649298,0.0008267413801520908,0.004066772653811401,0.0007752490107559327,0.0,0.004391001654671623,0.0,0.0019446681711198278,0.0,0.07055094838142395
ITGAV,0.23246043192571972,0.2941662359117553,0.5546314545679832,0.06863841842563728,0.3072221476512103,0.2625980926826308,0.2852148875604884,0.18529538945315674,0.03152980567615497,0.39984963786217476,0.057975881380945365,0.022340856552124023,0.026742208358291147,0.028063712157413826,0.6458929212107135,0.005625484278342628,0.024583693593740463
CHMP4B,0.3139561145275214,0.3229348531831534,0.36096160477408235,0.34061067352930546,0.31927421890213614,0.32280793668013663,0.34337678935395805,0.2662026304723958,0.13851665407746028,0.06934549443183406,0.11613407099854212,0.14925932686328888,0.09993783363720754,0.1530745872870752,0.26130923301498327,0.03659366767177983,0.025153376839377663
C3orf38,0.10292376997763997,0.08186628936913966,0.08683153757843884,0.09802808484113809,0.10929138624442869,0.07449460237578863,0.09794482532654347,0.051111343268299525,0.0794424892673689,0.11666599162403614,0.0671933857429443,0.07235597081184388,0.044246198361987,0.1035284129622089,0.12406423877429411,0.09224281440670482,0.06837889281186191
SPCS3,0.2026863583578302,0.31675363670376827,0.294170306246775,0.3927136170566157,0.2736543122646182,0.4546517481151451,0.25363570822802944,0.4009289681291509,0.24192457491577662,0.16372612983949722,0.26233962377977754,0.14155933723449707,0.7888027397277472,0.26648190592416754,0.10974259734842819,0.035402108993783384,0.1367052441293543
VCL,0.07287730892292693,0.041186760638519636,0.4681953677463599,0.08211570504156515,0.04669984696417767,0.07002956163619045,0.022910262670915064,0.24134421738260392,0.025600533178079067,0.1284741397586561,0.01653842703906205,0.024914704513549806,0.006193550186348961,0.018463102568580043,0.14498127764360064,0.019151241489691714,0.13989987249740146
ITGB5,0.03441900052597341,0.08249760042226056,0.15005355547950702,0.016491236552178514,0.08398442491270865,0.07123719175810383,0.03366226596372287,0.04131369542933857,0.0030705372864518452,0.020490158416871584,0.0032622221327978547,0.003306684637069702,0.012284369396788257,0.0054512969841196525,0.20615746589065287,0.00018391322104328674,0.016798195513811977
SURF4,0.23788603016650386,0.1805521823100449,0.3410944202638984,0.14950575833969482,0.13771447507633042,0.1982478681853486,0.3094671721852329,0.2647370215156635,0.2693239238630107,0.39978400113121154,0.13464396872405393,0.058522481441497805,0.1833879480828772,0.25149421439969716,0.31351623300872095,0.014880305980931069,0.23533276265317743
PDGFRA,0.3610676309037116,0.017247180239540496,0.052182389678084126,0.0038628572317362733,0.011339421773060543,0.007056399564528356,0.04502869739635433,0.03804092997073419,0.002452893190084927,1.6162263121335738,0.0,0.0011183560848236085,0.0008838764958448343,0.0056412472764188005,0.028561435682925185,0.0,0.026576944372870705
NOLC1,0.10098611181949592,0.07244904046672193,0.15637328813039028,0.08831011263356911,0.07235632206211096,0.06184457928372067,0.13544411128572656,0.10828327645518628,0.09841762939050401,0.2528424585057843,0.04512911571574275,0.07295670161247253,0.06883908248135259,0.10053300177442735,0.15419240631809125,0.059334187521219335,0.3763240823014216
GPX4,1.0274956953957337,1.0686922766304572,0.6584722936910029,0.969100038200519,1.0692295857869343,1.1163420124704722,1.031909424337322,0.7798364031367989,0.602987044264965,0.5805262824700724,0.9481044528311763,0.6699627109050751,0.5202581789735314,0.7073499039503981,0.8259432674143355,0.09750563633805032,0.9150139635259454
KIF18B,0.024039095995835088,0.005747937507666366,0.01591680457944258,0.0020128283362832824,0.0022385299809211433,0.0019513108383967682,0.005852877372599271,0.003886020201276351,0.00448179935990225,0.013018015051080335,0.007416398212034005,0.0011984901428222657,0.002339844181612655,0.00682705650371737,0.010309908754391478,0.02167165201086993,0.0022897513752633877
TRAPPC13,0.07172509959292957,0.035577305642838654,0.06814796954645592,0.036812953223027356,0.0379859797722162,0.03266814027585658,0.07053956978978776,0.05486686817781355,0.034563733249733,0.10119355734317534,0.02764045536997491,0.015558534479141236,0.02630179469193612,0.04472935290737007,0.0962781127477657,0.019143300237798335,0.1472147787836465
PTK2,0.15072554518213785,0.03881329926006318,0.3268693833072027,0.045595639223283184,0.03250217472599384,0.026246080841348912,0.5645948750746765,0.148050815885524,0.0050150006671698605,0.2876602382429184,0.03976891043997961,0.04387077550888061,0.045865862701947875,0.010022506860184736,0.2668297352818395,0.029812543065027383,0.1480769542130557
UBC,1.9149531758419296,1.9243427565768052,1.5358781007516535,1.8898796345422557,1.969212080450209,1.645066215469516,1.8890321757508608,2.079736860510499,2.103224928292888,1.4243075511147898,1.3463944148761657,1.7996646969795227,1.603687916810696,1.8334719149067298,1.4868859803745513,1.3682343093024738,1.9159228639169172
RPL10A,1.5675340224572143,1.726728433028761,1.6252224519323395,2.3379459429256726,1.7803832796432877,1.7218738397577469,1.1203337360790415,1.501335518144038,2.2766102434142823,0.6274473962764586,1.7936999126669548,2.8381364252090453,1.2962669784372503,2.4667564940385525,0.6899870751221056,2.4721766103405436,0.6773470802740618
FGFR1,0.1930029452224043,0.02703282758766619,0.07793088729147851,0.004557509504764618,0.02843983905940441,0.01451665186102106,0.07507186229770912,0.17108799213817535,0.01323825431269493,0.7524355342311244,0.011861208776366615,0.007517870092391968,0.007899447949928837,0.014205330727616674,0.20413675197976172,0.039387685614716,0.04260087995366617
SPOUT1,0.08247993750559529,0.03956232630426915,0.0513885127976852,0.03934613685058964,0.044237741701287754,0.030758013773081884,0.044546004451913396,0.07208413851030869,0.050090012808823525,0.09018208146575958,0.04227343129728179,0.03710818104743958,0.024327147934403454,0.05665007481473476,0.05518623376857339,0.04892376419335954,0.2071128013459119
BCCIP,0.117501133009189,0.08907335298344585,0.14173573785171187,0.1091461124157731,0.07827752037601841,0.09299146220837519,0.09714484630262572,0.10494661623443217,0.12219289667117669,0.25987074782531105,0.07472597841602867,0.07946242558956146,0.0848618496235434,0.11877152451840498,0.1466902694261143,0.16652721874243345,0.15979217399250378
POLR1H,0.14049306320404287,0.09370790478853029,0.12065168126513827,0.12446645536497367,0.08825585779480269,0.1058866683169649,0.05714848299227448,0.1228265103401082,0.25647305850795293,0.07758618969350092,0.163547112858647,0.1527770550727844,0.062281185513609776,0.22205502874834943,0.04912573340311216,0.19747682360087504,0.10627047717571259
EAF1,0.08904686433379881,0.0848366517830625,0.07299934394857274,0.05556954167702378,0.05066747872096867,0.13018711746221187,0.09085751272777975,0.06245688768588062,0.06769518723746147,0.08569261966453444,0.03758313396980552,0.043423062485456465,0.015514861297357333,0.0661956602284687,0.06411080931803223,0.028589193617953583,0.1972077859734947
NHLRC2,0.039949607325527936,0.03749917499387362,0.0750055340012307,0.05275707478416113,0.040799027249799225,0.041980313455978836,0.05626544643600307,0.07948617878498684,0.03193764320752548,0.08039119935804798,0.026444891502646273,0.021325652074813843,0.013504613946367811,0.053618237956933296,0.08541256085985657,0.007980973091166257,0.09255152447572486
FRS2,0.07497084725110731,0.02778443378902501,0.05240462074116692,0.022036790426437736,0.02402583739156372,0.030463453845327018,0.08393627800111271,0.015124886785184114,0.028531933720864978,0.13047827557931024,0.019762347594662583,0.020632680892944337,0.012489701054625577,0.02052915462376172,0.10624790312237822,0.01953102203399888,0.11566304076801646
CCT6A,0.8335029595622953,0.29799409350543304,0.5781424108614202,0.36310069707270015,0.32236013961750654,0.29715667148312336,0.31256817464749787,0.45828336486136223,0.29564416110828684,0.37286541971468157,0.26593690615237237,0.20560525331497193,0.1056488439753339,0.3135133326029672,0.28573880611644314,0.329991600842165,0.596582751382481
ALG1,0.051783970408816146,0.046452085929790984,0.05680090062877187,0.03123097072057548,0.04593614436421085,0.03168530999628792,0.04600976264378398,0.03759148411375275,0.03531661231503247,0.10629424798272309,0.007335880167043241,0.02514386157989502,0.03496994656491113,0.039379608109084516,0.04333047971473953,0.0025119037869395333,0.10188765281980688
CDC25B,0.13192912341898277,0.0392870419208796,0.08137880698666082,0.017587720294457376,0.025746601592779448,0.030387706333929242,0.12425911990068593,0.05103765731403413,0.102999477804631,0.1266482238086962,0.02667557825671444,0.0353043360710144,0.04385366431483022,0.07218511160141304,0.06385400942984344,0.015068934530306423,0.15898120538754898
TIMM9,0.19441075969047683,0.12272153644179262,0.12670942220432296,0.13079825199423822,0.12205025866420195,0.09323909842041316,0.1450608800154983,0.09466760780490702,0.098911614261331,0.13399419140431187,0.11316173661490228,0.13066588258743286,0.10548194497823715,0.14489089946949898,0.11984489556681903,0.20577780036026785,0.10136165944012729
KLF16,0.03741071417482183,0.030627703601948105,0.029315977742204544,0.043353267162624436,0.0262542420440736,0.04734431546505094,0.018631265652637223,0.03273988500746717,0.012297693158755124,0.02415780403140572,0.021589274380865428,0.018643815088272096,0.005716141443569344,0.01897367399205353,0.02182292938232422,0.0027373167472162577,0.028557523407719353
KIF2C,0.05480268929510987,0.015194273285150224,0.045580403159447384,0.009121281770828004,0.0070835636166695646,0.007954923363583968,0.004530710456138448,0.037820476545975784,0.013836785365735566,0.0031450769353297448,0.014510446435324948,0.0013893189430236816,0.003964728721371898,0.027384723128444845,0.015810621439377007,0.08870149346743354,0.0
GOLT1B,0.14251231164392897,0.10203669471486759,0.1773189071287389,0.09254168207613515,0.09441768707864305,0.10156683018624342,0.1598100852492566,0.09344687346053514,0.09440760402706512,0.14026560225794393,0.06961584474701664,0.06438644878864289,0.08996094148475807,0.086174446375507,0.15433479044478754,0.026447832446358236,0.13224730708382346
TCP1,0.47628130343456165,0.2711831678542195,0.4578177690169707,0.25431870234430937,0.29599376101403385,0.2251063867140269,0.36261679391984747,0.3272855930129982,0.28169178426170144,0.4021629731981985,0.28578693297848945,0.1881802381515503,0.12298471048161701,0.28316114788411756,0.23467362409382198,0.35948611830407967,0.6256864396008578
PSMG4,0.12319900065443365,0.05621619706892205,0.07305136905150286,0.07508035974350881,0.05237057345734585,0.052233150178934123,0.08118805651977633,0.08718595971501422,0.09385402451056843,0.08048614191131727,0.05003801511535696,0.08116950645446777,0.07325651251769566,0.0986437527661153,0.026913546757891,0.014691142884912889,0.1509009382941506
PDCL3,0.14213294977899515,0.1251467047618432,0.1640821777294654,0.21438853974235206,0.09269748087284148,0.14923651402909865,0.13118914321546093,0.10424591811238214,0.23528734583089814,0.07326860293265312,0.16934177431280428,0.09882352828979492,0.0685030515533644,0.1571591239034914,0.09394178500754295,0.2110423349510277,0.03364263474941254
BRAT1,0.13899837858104558,0.05129233646639298,0.05183351603146164,0.05554440520502527,0.055466031833008876,0.050701651789544125,0.04937247271129369,0.06072355307539009,0.0524125560929448,0.13626141822145832,0.04234950264401474,0.030016461515426637,0.025739172799187107,0.10128302976950052,0.044345267246224285,0.00362525068656125,0.3868353993377902
FAM50A,0.23970080123299672,0.22940742924663696,0.2219227784443305,0.20243252766791453,0.21598117136562267,0.2543290996987594,0.36861118150152805,0.17590686027929298,0.19920412525662337,0.20642537888019316,0.20647449867335466,0.10078824272155762,0.09792131151665341,0.2335666740884164,0.14348814804429952,0.005520923736684043,0.24151919917626816
HAUS3,0.04884267683546916,0.02996222786921009,0.03500820816151682,0.03316298358159305,0.032693754567514756,0.02750170635917092,0.04202628596051936,0.027980357364240763,0.10447450768379206,0.05871361806508033,0.02477711479082184,0.021946264362335204,0.02204364960218643,0.05364786327340221,0.02107691764831543,0.009671914936343588,0.05199983851476149
KIF18A,0.022817954466732765,0.0058560543113029846,0.015556907578146845,0.0047016071206924135,0.002833550720551894,0.002665293172677973,0.003772665011883737,0.0028444427172106762,0.010327546253380468,0.008042343681858431,0.0012739688237934266,0.002241520595550537,0.0024548494940871126,0.01862802135269055,0.009122947736971641,0.06946621070266577,0.010025405070998451
SYS1,0.11355000429904814,0.11374133426923842,0.09123647246609622,0.14120779751346918,0.11535464737447641,0.11292982384054082,0.1370857517819175,0.04751576968146291,0.14099874883065683,0.0975657711105962,0.040478917293190635,0.15457608985900878,0.042060005081283464,0.11888018865909093,0.10302520487349846,0.08543110590283455,0.09512017260898244
POP7,0.33620752684683264,0.08824778685381163,0.14830837927348858,0.08144408152940688,0.07739294551669373,0.06948841821547759,0.1897180885346346,0.13186441231269894,0.08832170649670051,0.24024143502596887,0.07318902063625428,0.05569335486292839,0.11415911846227579,0.12081548675757041,0.1704178304341487,0.075822034599223,0.21776305545460095
SNRPB2,0.6523119835086986,0.35648534091012607,0.5195593206771506,0.3991836509569761,0.38053885482520955,0.3485375584492665,0.504152807590719,0.4611899487862438,0.42059494009203735,0.2281955038347552,0.3385308853103392,0.35166895656585695,0.21110685820971337,0.46692790004229057,0.1618653639203551,0.8153009824169448,0.1304288790984587
SEC62,0.8387493743691272,0.5505576113604367,0.6241190038379728,0.4814338218199728,0.553583616696012,0.5193685790580886,1.1402459115365426,0.8189233592856692,0.5007423615177472,0.5308158654839762,0.5515996329586244,0.6181729174613952,0.8899164599972171,0.4160429819274878,0.5934302772400696,0.6907478616717907,0.6244186921553179
LYRM4,0.16350232626469502,0.1106896751016748,0.11397320851788702,0.16111420749173386,0.13330854414011373,0.07066267956489834,0.08227429419753547,0.09437145272831683,0.09583838283878335,0.16784778285411098,0.08229195128816702,0.13801258430480956,0.06836818721327749,0.129592388401361,0.11700717079846155,0.22135598472335138,0.12570790015161037
C19orf53,0.7787197468134418,0.5086375956688685,0.4840614240831986,0.6029421188289004,0.49907568281520587,0.491403901740526,0.6123868267406839,0.47144840128531607,0.5977304115058473,0.32909048276562847,0.4933477662523694,0.5872284058570861,0.4821996765953678,0.6769907311676687,0.36480324254559643,0.7384833176661778,0.38510915637016296
TAF1C,0.05906142475960785,0.03812118947737997,0.06619030254011599,0.01904268546617263,0.029666238541988414,0.028858194672386286,0.04336140753892205,0.14485753428351472,0.020878603946297623,0.13448382259136246,0.022200466800311295,0.01782717876434326,0.021079642216225603,0.024168269839714023,0.0828682466738486,0.004606591246286915,0.20090489157221533
SBDS,0.6545866338812631,0.25027349450955055,0.6700036498824363,0.21390153795322725,0.23086743357019385,0.18139743204482459,0.8456458765271668,0.49557721809681954,0.31295291530744757,0.6312741163757539,0.26906017659496684,0.27417763710021975,0.2744092144645177,0.22691272204542026,0.5783771338490392,0.061159298317603125,0.5968634540384467
INTS12,0.10545815133867854,0.03988827458111871,0.0665467761887818,0.045609502562426824,0.040595300765480374,0.03204604105927598,0.058911153687736216,0.051976113227288755,0.04967099212529281,0.1951304448828582,0.03276622375278626,0.03968140633702278,0.027625510846818243,0.05361599993303436,0.06720314997469069,0.08866562247063964,0.1500384590842507
DDX51,0.053721830913548756,0.01689889518982272,0.02165821443702001,0.02471641406541038,0.021258129440401865,0.022419613887003264,0.04880948684582505,0.017872650060044355,0.01498713644531185,0.07727902827243652,0.009609533978211656,0.019051538199186323,0.033490913132062324,0.02306050311230713,0.009095644928256557,0.01902033819670689,0.14520380442792719
DDX55,0.08546167185517052,0.03685197987523542,0.07224114245520996,0.033911084021260356,0.03562997533434956,0.03147112708506012,0.050444599905129416,0.054168087235177256,0.04523741126528473,0.0635371984493348,0.0177409246204366,0.027789920216798783,0.018614686296119558,0.04646528836425024,0.04208086198464984,0.07603380015026347,0.11469832138920372
PRKRA,0.22619065061763013,0.09478717658815126,0.20131443838138338,0.13810621876513166,0.09612182160792943,0.08206735547897978,0.21468948085341885,0.11158157245188198,0.08474756522392825,0.29162828600214374,0.11450627062659481,0.08591134495735168,0.09478792094892555,0.08374364211311203,0.16106103817162487,0.028833559326400186,0.4096136066046628
PREB,0.1204146912990853,0.07289622032549156,0.10899860770224852,0.07839613284645765,0.06259888859547343,0.06488077470294364,0.1099089665793425,0.07249687986246367,0.0692863315522373,0.20791598481516685,0.05174086704330853,0.043455138063430786,0.11292947417164183,0.07289507821076555,0.12012555006611554,0.0066402932694682795,0.3367357768795707
TAF1A,0.033202082840683496,0.013181198948588015,0.018512722572419472,0.008891910412371144,0.016520281248607462,0.010020116767202344,0.01737982076231213,0.01084145434189693,0.012619143773107798,0.037188669306135944,0.010897324168330542,0.017241501140594483,0.0030137918941624516,0.010291061388435685,0.02824007362299572,0.05132322473631323,0.02035723313350569
CCT4,0.4691889452902107,0.3211890373301115,0.4505536238464549,0.35298388066300235,0.3201561735207119,0.2900782250033019,0.45345193779475224,0.37172542116085805,0.3818329604513921,0.39342227554129017,0.309052857572847,0.2974291082382202,0.19441181744312072,0.3561958815017921,0.31010457270407266,0.17767343442126615,0.6639158400622281
HSCB,0.08862435687264256,0.07390597677247995,0.045531536506328664,0.0914897370657455,0.07825859340370618,0.06090731291841379,0.053424356381257615,0.05065995990610052,0.04015117194554697,0.06072237039165151,0.05272725344343415,0.05594382727742195,0.08596816106692895,0.0810223545425625,0.12293462532793166,0.08392484560953921,0.02271606434475292
EIF3B,0.258611539714991,0.08302988428696217,0.12384602705959877,0.11011310103444613,0.07016182088707279,0.14008599604429847,0.14174613088438617,0.13367397749428409,0.062136876411064655,0.23818031698465347,0.06594350286846826,0.05764582509994507,0.06376639714503622,0.12170950182952667,0.13482439931417475,0.03442822037364904,0.22132072936404834
HAUS2,0.06883086316822294,0.056552623413135356,0.06370916781876083,0.04259180920318473,0.054772808696350456,0.05425717204211675,0.07842996276424974,0.05673003055011358,0.05867402598863021,0.04651357083311004,0.0223341477140984,0.02898558955192566,0.026849307302203213,0.04846586561217371,0.037914320568128816,0.05898256204149075,0.05506614764983004
SETD5,0.3221397209124105,0.1087806465916932,0.23458048873626966,0.09871584536661496,0.10725194272196462,0.09990247809631154,0.15290397899424588,0.2434865673796383,0.14151237110133932,0.5680135555805699,0.07337648890932508,0.0940288236618042,0.05392856093553396,0.12159475249523809,0.16715491817176686,0.10192395198332443,0.2979792183773084
UBTF,0.15642287351708176,0.0635867225225655,0.11230179034856547,0.1082658342447163,0.06242472399118059,0.07823393981388829,0.10486751103781325,0.14209748000836478,0.11803918434371005,0.17396577687994128,0.10002421813420252,0.12346425774097443,0.035195840249111605,0.18406965867636815,0.13870654328365548,0.029259640979605466,0.2536696872927926
ERCC6L,0.00520516338481208,0.001061864344232952,0.0044374044968816225,0.00034344355074693024,0.0007835821112812073,0.0005217895923346816,0.0012245244197992167,0.003582388444915746,0.00253581012686317,0.002877471427763662,0.0,0.0,0.00015957120779927793,0.004216152568474597,0.013729512002426765,0.01208573767446223,0.0
NDC1,0.04161634299386422,0.022102085761788057,0.05162489704251794,0.02228889446371705,0.017887106241876106,0.01899383440010991,0.02784137419807673,0.0383640864274477,0.016664130900241308,0.043687851678940556,0.013525319003547484,0.006091479682922363,0.010831705600648493,0.01832603483901248,0.024838129047713528,0.013377171820663327,0.04206628047607162
PES1,0.10010525482255302,0.058374060437736,0.08481497581317832,0.05842379911533963,0.049211914157846516,0.06832317362526039,0.08693609672444302,0.06433530264765157,0.047635033255134726,0.07014991355038458,0.05182266710750539,0.039159911870956424,0.034705685673060115,0.06708154843371046,0.052898276747995715,0.05778750211350808,0.10306426340883429
CYFIP1,0.1262155990143795,0.41727643929173036,0.2099044903040941,0.12830638181257356,0.5979417852240737,0.3352345587374499,0.052895500266239646,0.19102816542757212,0.02312540631848189,0.16053483106436267,0.060424460003267344,0.03663973121643067,0.041517181647615836,0.02940129383638136,0.12185938509902514,0.01546736346643337,0.13543813878839667
