gene,lake_neuron_max,lake_neuron_mean,lake_brain_max,lake_measured
PRKAR1A,0.43708514111419183,0.34792017979862033,0.43708514111419183,True
LMNA,0.07475331757852019,0.04681991653975219,0.4924782128978627,True
RPP25L,0.01668399877765615,0.012493807454170966,0.022287603858363248,True
JUN,0.10420288377204127,0.07084182380186431,0.7483890266751771,True
VRK1,0.11157020792973577,0.08523121100411654,0.11157020792973577,True
CTDNEP1,0.002627340731658051,0.0014996912723374727,0.015084627030061921,True
FERMT2,0.06913485178646123,0.06006714445665455,0.3350896758316078,True
MET,0.2388796593624181,0.0686094541473756,0.2388796593624181,True
ITGAV,0.2894833904505886,0.14616983793094568,0.45323506763906346,True
CHMP4B,0.18876426316900738,0.12987057730575718,0.21742488436030805,True
C3orf38,0.06759892920606479,0.05921948066050177,0.08343379638023068,True
SPCS3,0.13936562786718956,0.10923976685240717,0.13936562786718956,True
VCL,0.20187283713685542,0.1368874296815532,0.6345796285336369,True
ITGB5,0.08471739209831629,0.05006247392459656,0.42468285462034144,True
SURF4,0.0940618465150331,0.06531788349420524,0.0940618465150331,True
PDGFRA,0.024637497537614666,0.010481587865066618,0.5348568462496812,True
NOLC1,0.12601736311166112,0.09404206094715202,0.23921861625135507,True
GPX4,0.2819656609167336,0.21998168762172807,0.2819656609167336,True
KIF18B,0.0028289601612464183,0.0014133362368504213,0.03404119042326304,True
TRAPPC13,0.16243983460804895,0.12909132207115834,0.17966750239414322,True
PTK2,1.1224633151298726,0.8114625146215243,1.1701882695639967,True
UBC,0.37228382120309433,0.32237874675435496,0.7319908864191497,True
RPL10A,0.20668649390043933,0.1644256512730173,0.24547467425057864,True
FGFR1,0.3496192383536923,0.13317597316783866,0.5207779272256534,True
SPOUT1,,,,False
BCCIP,0.13192750345627707,0.11307701829688552,0.16376729437621018,True
POLR1H,,,,False
EAF1,0.05981496907918025,0.04962132024931591,0.05981496907918025,True
NHLRC2,0.2510517424730271,0.18212256455671313,0.2834159515031909,True
FRS2,0.22281074713969096,0.18283708206331606,0.2871662149306514,True
CCT6A,0.19587063249399178,0.16719723155771313,0.24801687989049478,True
ALG1,0.0743940001972073,0.05456923107377445,0.08081091432170484,True
CDC25B,0.2170127009193319,0.19816580887419566,0.2170127009193319,True
TIMM9,0.06850224368485994,0.04777458491042423,0.0994688614369905,True
KLF16,0.029051917238801957,0.021416306838117637,0.041275290383841146,True
KIF2C,0.007229968580649552,0.005826870817178357,0.016301283234158245,True
GOLT1B,0.21706836134281193,0.15578112483525894,0.21706836134281193,True
TCP1,0.12066782962437188,0.10361576328024444,0.12066782962437188,True
PSMG4,0.12480981025807635,0.10190178195758762,0.15146196763909908,True
PDCL3,0.016278960613101055,0.013243061390777994,0.08764798415223415,True
BRAT1,0.1070635589373101,0.08129557817615954,0.1070635589373101,True
FAM50A,0.19786734610422388,0.16297499772670435,0.19993283893640607,True
HAUS3,,,,False
KIF18A,0.004538727956035093,0.002058806083343908,0.03575260290890504,True
SYS1,0.0004459950789294331,0.00022299753946471656,0.0004459950789294331,True
POP7,0.07828376303673508,0.054228260187700036,0.07828376303673508,True
SNRPB2,0.0680865352002617,0.05608642377687677,0.11004329655379058,True
SEC62,0.6101539348739898,0.5248224299168252,0.6101539348739898,True
LYRM4,0.20846227489251273,0.1435601588369413,0.2150869163002072,True
C19orf53,0.07512741833306023,0.048515405766215346,0.10677158681644328,True
TAF1C,0.09511241722310713,0.08093064834790867,0.11874368958065347,True
SBDS,0.09687247532575975,0.0797002472872413,0.13810126417585025,True
KRTAP21-1,,,,False
INTS12,0.0732696598014282,0.058003375299008675,0.13560197893218184,True
DDX51,0.10425617583761787,0.07658394563832291,0.10425617583761787,True
DDX55,0.14686321603464544,0.12061484211679989,0.34401236510452493,True
PRKRA,0.16847552204687183,0.14073066055986713,0.16847552204687183,True
PREB,0.07936295321004487,0.06409760752625317,0.18112497725675278,True
TAF1A,0.018817371546071347,0.013376826231312134,0.028051298901730266,True
CCT4,0.18464981322196422,0.15874612963987228,0.21547838810364286,True
HSCB,0.06895155112581325,0.048626644098508504,0.0730864490163889,True
EIF3B,0.1386373527125507,0.118026291452175,0.17248827072018608,True
HAUS2,0.05409476946518578,0.0425758998384229,0.05661776178727106,True
SETD5,0.582556377940343,0.5358649821883876,0.8535440533671336,True
UBTF,0.17191461627454158,0.13817354155068312,0.4179791829967401,True
ERCC6L,0.004023775104117971,0.00234007935026414,0.025665876197298144,True
NDC1,0.0771818577138334,0.05658628381975116,0.1342899623871609,True
PES1,0.03516525027232126,0.029857760544706603,0.09731740600056726,True
CYFIP1,0.2239179841614645,0.16212270340241589,1.0338316516444013,True
PDCD5,0.1858034673395531,0.13209951476805976,0.1858034673395531,True
RABGGTB,0.06688125364329242,0.05495304191938914,0.13802246625727838,True
SRSF2,0.25463320639034726,0.2097802347228531,0.25463320639034726,True
DPH3,0.035897614824612185,0.025449488991089,0.043868769351163246,True
PPAN,,,,False
UBE2C,0.0009138988902585219,0.0004199426036913957,0.015615715069709558,True
ACTL6A,0.01018322904714847,0.007880901110908636,0.09800749006497213,True
RSAD1,0.12486196393921593,0.09961435664309432,0.15718931834118935,True
PPP2R1A,0.3204124154358109,0.2534603337786554,0.3204124154358109,True
RPTOR,0.2969345638714566,0.25306514464952234,0.35731245657399896,True
TMED2,0.06705681583169053,0.05428227476381958,0.0851677935885231,True
PPP1R12A,0.8081513740501741,0.5983507596817269,0.9446223276164684,True
SNUPN,0.0374415982582004,0.033236968991202986,0.05556349541188725,True
MAK16,0.028765220825904495,0.02342046577192155,0.06015042391353703,True
CHMP7,0.07229432930071258,0.06119831664307174,0.07229432930071258,True
RAB1A,0.2682374978323078,0.22597884773249546,0.6398176021451896,True
CDK2,0.00123411910904766,0.00027569270956795074,0.017258624126036702,True
SPCS2,0.10295555612511564,0.08259919514744506,0.27015736242470423,True
ELAC2,0.06777240773939373,0.05022938067124422,0.14623796525023092,True
GPR61,0.03087257283946967,0.025427227786790664,0.046217549134044404,True
GRB2,0.2828186107935702,0.22623865762494288,0.33101464137302145,True
ODR4,,,,False
ZNHIT3,0.07401657379786596,0.06102064192557063,0.09682594999679693,True
ELAVL1,0.17026245392802414,0.14248765812537637,0.21704221911649468,True
UBA5,0.11993068968910402,0.09726582815669592,0.14618411305281687,True
EGLN1,0.1688736901618454,0.1532326655581186,0.27283619906778417,True
SRF,0.11069394127118207,0.07690754474149639,0.12643695486342582,True
RPS17,0.22662982247984334,0.18087861291247506,0.5053725269170228,True
CCT3,0.17014590529759177,0.14599411861235384,0.17014590529759177,True
RAC1,0.3662883362604373,0.27123040735800263,0.4997044975399231,True
EXT1,0.7178960946826141,0.5837327372612527,0.7178960946826141,True
LSM6,0.047282145951466494,0.036516656505819624,0.047282145951466494,True
E2F3,0.16512782866003678,0.09981757472543251,0.16512782866003678,True
MZT2A,0.12940932606451838,0.10892619078433485,0.13245110687651873,True
NELFA,0.3048307992841146,0.21947790442057608,0.3048307992841146,True
PPP1CB,0.11055166144832854,0.09660809472698238,0.35601686560702694,True
KDM8,0.021007697176405254,0.015764184621130637,0.05112003319225867,True
TAF1D,0.4208488326311825,0.3450903033563905,0.4208488326311825,True
TIMM10,0.048187421258570576,0.03392345225526554,0.06662467546575464,True
USP36,0.1869299797794508,0.16931000311746358,0.2848116791533778,True
PFDN1,0.12427876289200963,0.10231884381722474,0.16308617486634497,True
SKA1,0.0016697730520024105,0.0009425653740908448,0.014018849771633729,True
HAUS4,0.0003867561548124888,0.00012891871827082962,0.0003867561548124888,True
MED11,0.022899777438376092,0.017711499868001575,0.037601296949842565,True
CCDC59,0.11978573243910441,0.09990811406646981,0.16474721191673072,True
CSH2,0.0013824130976105582,0.0005584876199292949,0.0013824130976105582,True
TSEN34,0.032502489776275685,0.02385063059274085,0.13701202432630877,True
DSCC1,0.02134362695530054,0.014160627784972655,0.06853099531625935,True
INTS9,0.10262305554573574,0.08226148337413913,0.10285204553496498,True
PFDN4,0.12116058846766152,0.09205085043899486,0.13072857919109693,True
EPRS1,,,,False
PTPMT1,,,,False
TSEN54,0.0937539982116844,0.08138838372569007,0.1129901145751286,True
POLR1G,,,,False
PPRC1,0.039837875485997765,0.03230793615174158,0.039837875485997765,True
NBAS,0.4447161324998005,0.36847201983812444,0.4654085085655686,True
PFDN5,0.4006544745572112,0.2995389986128419,0.4006544745572112,True
RINT1,0.0877934091367711,0.07194079829026838,0.11077915290570298,True
WWTR1,0.03834809304797677,0.033681545939701796,0.5248235176462946,True
SOCS3,0.0010351331342428483,0.0004449269660854018,0.12358189267609905,True
WBP11,0.110488784391129,0.08945548279703301,0.110488784391129,True
ARMC5,0.048590997348547285,0.03816118164106524,0.12761232332605613,True
DDX10,0.30204797690703017,0.23725541244744192,0.33371290853002095,True
UFC1,0.0635550277147996,0.0499040394068121,0.06654740467284026,True
CCT8,0.12212114832567145,0.10200690468338165,0.13392190585669733,True
RSL1D1,0.1708427755819055,0.14524587225287186,0.20680016625114797,True
ELMO2,0.1738438629410732,0.10679908616195008,0.18054163421729882,True
HAUS1,0.02717617565983002,0.022017212917369227,0.15567616434763537,True
MED26,,,,False
FOXK1,0.14529294789913552,0.11566473303343372,0.19194796218632912,True
NOC3L,0.03687379033932787,0.03317472563564498,0.17995276303711735,True
HAUS5,0.04443061557313038,0.03418268022224687,0.08014978860397108,True
HNRNPH1,0.323538671821075,0.2833416719058522,0.42527424068473924,True
NOB1,0.024024534104320046,0.017942673495546596,0.06602924117181537,True
HJV,,,,False
NUP54,0.15767822917654573,0.12672001375013606,0.18078907696525617,True
PAK1IP1,0.06938738724079296,0.05429106524311718,0.0739472329619206,True
RPS21,0.30304471792407356,0.25607200825097337,0.4461871274280128,True
ALG2,0.04269692540480633,0.031102560612517156,0.10556919690981001,True
ARPC2,0.2893529560253595,0.20983110563712418,0.31951155237175966,True
ACTR3,0.1260286992273686,0.1074398752438587,0.2594198855419649,True
PTPN11,0.33110642965917836,0.2513787814685604,0.33110642965917836,True
SLC35B2,0.024865923174856367,0.018959354123462828,0.0567221558906464,True
COPA,0.282476933980003,0.23365118728917095,0.31169790649360746,True
CDC42,0.2840972533458818,0.22450270590246874,0.2840972533458818,True
NARS1,,,,False
PSTK,0.11665415156445665,0.09398473691223873,0.11729271491557255,True
NOP2,0.03944838333709806,0.029956034000272257,0.07320149682837034,True
FOXO3,0.4006227594280282,0.31790802183854305,0.5694835297707385,True
NOL12,0.002498246595475769,0.0011075019714721318,0.005108213255423389,True
MLST8,0.11316963536267605,0.08414879734712087,0.11715277720555023,True
RRP1,0.07932674230875761,0.05504358513535111,0.07932674230875761,True
NUP35,0.03294612296204513,0.02857088632652522,0.065888682419912,True
H3C8,,,,False
NUBP2,0.07594990072517795,0.06435144297993424,0.09738535423420412,True
IMP3,0.06043709116333506,0.042182620920383086,0.06043709116333506,True
ARFRP1,0.13178243915901947,0.11175575178359191,0.13178243915901947,True
ARHGAP11A,0.005711274910208122,0.0036496284555720807,0.013251384291678854,True
CIR1,0.2088048668591275,0.1739829147047045,0.38718295695804067,True
MIS18BP1,0.19328676649613055,0.094321546103354,0.5297379738736103,True
TUBB,0.19058235901019757,0.15487789766628515,0.19058235901019757,True
SCFD1,0.3419340776324633,0.2988483458730036,0.36679486064417915,True
NOC4L,0.030379380801125656,0.02572582838633817,0.05443229072140491,True
AASDHPPT,0.23941344114664653,0.17419343004759574,0.23941344114664653,True
CCNK,0.07503531582358385,0.05602084934048777,0.10323775746909833,True
MT1E,0.0036151025839745304,0.002930168860953634,0.31535108823685987,True
BRCA1,0.036652770597832084,0.026696183264264713,0.13181697236444573,True
CHMP2A,0.08478951544420553,0.06589310598848382,0.14425816503239308,True
TOP1,0.3919941155476702,0.3248488305907896,0.5679161139615625,True
RPL36,0.20550638189864368,0.18689045625307144,0.30623810888916425,True
EEFSEC,0.10153492692171547,0.09034298948022987,0.1550995042320258,True
PNO1,0.03500013433667209,0.02995968019177337,0.06441940078680175,True
JTB,0.20902066844081033,0.168056474796502,0.3141131648985201,True
SNAPC5,0.04967324258539341,0.03996257679327066,0.059733905838498476,True
EIF3M,0.12550901558960578,0.10689210093162274,0.27730875058767424,True
C19orf25,0.08427372688731517,0.0609490279099192,0.10550167262347436,True
NELFCD,0.08968234808233304,0.07737749512100081,0.13682204195497558,True
SRSF10,0.18481931497517828,0.1480033902314114,0.2933110511018442,True
POTEI,0.0003255152248096134,0.00012690218626292994,0.007113356862770462,True
AMY2A,0.014471904513444782,0.006226329767585473,0.06526624275952152,True
RPL26L1,0.025480801419907557,0.019969983534832658,0.07267098745313313,True
TM2D2,0.0469974863028335,0.03376124146419188,0.0469974863028335,True
PDCD2,0.06961349273303045,0.052784003834514294,0.06961349273303045,True
VBP1,0.0844544148476406,0.06735552933507657,0.0844544148476406,True
CDK5RAP3,0.29894655019269534,0.25623892341051574,0.29894655019269534,True
SOD1,0.32396069090339275,0.262024289551538,0.32396069090339275,True
WDR55,0.03762438311899492,0.027313062287693972,0.0900593407566083,True
TRAPPC11,0.17037729951546854,0.14838925581569598,0.21660996701119917,True
RPS29,0.31902730397352125,0.29769896313294925,0.37291356771876355,True
BARD1,0.05036793755120766,0.03047003750394377,0.08418079035006301,True
DNAJA3,0.0948781779618515,0.08234977943315139,0.0948781779618515,True
HYOU1,0.08273156911265939,0.0701975208717552,0.12370243927631455,True
CHMP3,0.10317604629722754,0.06858979479420077,0.11766965404333694,True
RRP15,0.14265724585935374,0.11639504489688246,0.14265724585935374,True
DCTN5,0.20105470967613048,0.15226787430212077,0.20634350892569875,True
NUP155,0.060133174708572504,0.05144591147514134,0.09739520924435813,True
SNAPC1,0.044478995905824006,0.0374817453386404,0.11483853572901319,True
FARSA,0.12755629009709657,0.09907495954301775,0.13337036423037937,True
ANAPC4,0.1615548191828008,0.13127775554753057,0.16900764220216105,True
MED28,0.10514958231999035,0.0730115129701017,0.10514958231999035,True
PSMB7,0.1441862886548939,0.11384310850186166,0.14557579251892705,True
USP10,0.1433237686342285,0.11584942315841892,0.14593666016873955,True
WDR77,0.0020194177573544534,0.0014141478604360637,0.0035393435933440648,True
CDS2,0.30666405105391037,0.23283012190527788,0.30666405105391037,True
TARS1,,,,False
SEPSECS,0.020811756096239527,0.016147661197995534,0.04997975376806187,True
UFM1,0.13571706522994176,0.1070585602087131,0.14118711409383428,True
ZFP36L1,0.01263831335341376,0.011005214100736852,0.6888766241111031,True
NVL,0.1654054953799585,0.14786247036358013,0.2183571763656487,True
MMS19,0.2014483765941277,0.1618141788793963,0.2014483765941277,True
PSMA1,0.287525964197834,0.13607364224747415,0.3959497473957427,True
PWP1,0.15279545432828656,0.12183629456099729,0.18903903554460022,True
TBCB,0.21346604260722105,0.1798083580921525,0.30230430915527895,True
OSBP,0.1194513514037521,0.10231605546148803,0.2041801266462023,True
TRAPPC1,0.003686236574430124,0.00263699811254738,0.003686236574430124,True
XAB2,0.0411356723522091,0.026467321172739332,0.07391543885305646,True
NOP10,0.05934475317698205,0.04299710407665486,0.14742061827443453,True
RPS25,0.28917860768364756,0.27593914859212176,0.521073369963207,True
NOPCHAP1,,,,False
POLE2,0.01350076290793902,0.010845111483772131,0.025528986707427332,True
RPS3,0.1952222927546464,0.17813887737161443,0.4253166849428041,True
TEAD1,0.22949195097095412,0.1947932577582349,0.4681528570213113,True
LONP1,0.12017247857876191,0.09999021605501776,0.13527439684530015,True
ALDOA,0.5545230974012378,0.4758515182948163,0.5545230974012378,True
SF3A2,0.02904746903345084,0.02310497262224439,0.1251170430273934,True
UTP6,0.1657185734889967,0.13669322839488288,0.260788316644981,True
EIF3E,0.13668654577093195,0.12386178719892205,0.3171165345166505,True
NOP56,0.3005144458474131,0.265130653880817,0.3005144458474131,True
TRAPPC4,0.06987598426409704,0.054550433529302576,0.09391592642419956,True
NSL1,0.14242200732332566,0.12836542499952924,0.19040908813278365,True
FXN,0.09001191551698828,0.07482004954511606,0.11202493594265417,True
HINFP,0.05987060119587044,0.05233868079970274,0.07487987916146359,True
GPN1,0.0413261033834367,0.03318101159674803,0.04415447743994833,True
NHP2,0.114457802763887,0.08512115037996396,0.1800086794915008,True
NELFB,0.08432722964703991,0.06963247265240706,0.13404501406901392,True
VCP,0.14528004565120142,0.12252255442612622,0.2045337853765914,True
SAP18,0.12730286533817745,0.10851013883888934,0.15228128173696873,True
CSE1L,0.1188349931383565,0.09678789252373474,0.1662978756873645,True
MSTO1,0.02462973481445251,0.019743190542142172,0.02647493869326789,True
TIMM22,0.04366454548781999,0.0365924104190693,0.04366454548781999,True
SGO1,,,,False
RPS16,0.2842234379653622,0.23390563224423847,0.41752394282830546,True
PSMB4,0.18195381928365578,0.1498771739327047,0.22707797553327067,True
GGPS1,0.11449572455186777,0.09021950127039766,0.1672183864207884,True
HSPA9,0.33612022988019724,0.2832782445044047,0.38901227410003786,True
ARF4,0.09989386365077166,0.07050564639692557,0.17725347009916453,True
INTS8,0.1328214424272983,0.10031684699828794,0.2147720456781175,True
MED31,0.08391886226242665,0.05959028253203813,0.08391886226242665,True
ORC4,0.2600336256127175,0.19829826802022682,0.36669278722636983,True
POLR1E,0.017805020906370067,0.014452858844436634,0.017805020906370067,True
MED17,0.08098413164381017,0.07181258667824497,0.10252918545227983,True
AK6,0.0501069579826402,0.042041080810232744,0.06603013328162945,True
NCKAP1,0.6132361128267699,0.468970456578805,0.6132361128267699,True
MTOR,0.1883991627417965,0.16973493181932242,0.30460755881600804,True
RANBP3,0.06357683363049184,0.0509910756942204,0.0667123612242068,True
TUBGCP6,0.27943057721152215,0.22644679427079595,0.27943057721152215,True
TLN1,0.08640579944861174,0.0650982963071498,0.3799726451963154,True
RNF4,0.19980666851761758,0.1516156512633889,0.2252349220658199,True
CLNS1A,0.21548240291368323,0.192386918347152,0.22863477747922212,True
ZNF593,0.04050522158026526,0.027858537398164924,0.06667383865578169,True
RAE1,0.06184511559865708,0.049169352615458795,0.0727042157150205,True
WDHD1,0.05605852496054169,0.03861572133012898,0.08228594254373234,True
NOM1,0.09316853251555028,0.07687052787139428,0.10296469930796609,True
UBL5,0.18740020743734492,0.14479362453299036,0.2527048831605781,True
PELP1,0.15054298188557444,0.1292116990345701,0.17581766714648303,True
VHL,0.06927311800586373,0.05189102527236826,0.09753681871236618,True
RPS9,0.19220750447466683,0.16640225769249956,0.39607772973872385,True
CDK7,0.07437613766311421,0.05802857013392106,0.10105435666393651,True
PSMA2,,,,False
RPS15,0.4007586563087091,0.34389836655573797,0.48641154767602873,True
RPS11,0.2865434226325516,0.24316685971105212,0.4093290119095401,True
DHX33,0.020307524487482447,0.015627718202611555,0.06385609592539143,True
CLCC1,,,,False
RRP12,0.13348354722098313,0.08491140901481739,0.13348354722098313,True
