,tcga_gbm_median_log2tpm,gtex_brain_median_log2tpm,tcga_vs_normal_log2fc,tcga_pct_over_normal,tcga_vs_normal_p,tcga_vs_normal_fdr
PRKAR1A,6.5962,6.3488500000000005,0.24734999999999907,0.24183006535947713,0.001216044823806899,0.0012986440948579336
JUN,6.6645,4.998900000000001,1.6655999999999995,0.8431372549019608,3.2418768520815185e-48,5.80665284265234e-48
RAB1A,7.1836,6.1844,0.9992000000000001,0.9477124183006536,1.0031521136619211e-63,2.28945200134132e-63
MT1E,7.6061,7.172549999999999,0.4335500000000003,0.43137254901960786,1.697592792027294e-05,1.862088217611334e-05
XAB2,4.8963,4.27355,0.6227499999999999,0.6470588235294118,4.035897756421861e-20,4.901970236340715e-20
DDX51,3.6497,3.9046000000000003,-0.2549000000000001,0.026143790849673203,0.00013909254738889753,0.00015081682341401532
BRAT1,5.3078,3.8121,1.4957000000000003,0.9084967320261438,1.846758928603116e-47,3.2063360539551035e-47
RAC1,8.3449,6.9536,1.391300000000001,0.9738562091503268,1.446584226330145e-79,6.298205170022016e-79
RPL10A,9.8881,8.5095,1.3786000000000005,0.9738562091503268,6.321580681312493e-82,3.5780146656228713e-81
NOM1,2.8522,1.7053,1.1468999999999998,0.7320261437908496,2.352877048313116e-33,3.4322897148072776e-33
VCP,7.1056,5.8363,1.2693000000000003,0.8627450980392157,3.1001203071449767e-61,6.854172241578347e-61
ARHGAP11A,2.4857,-0.7346,3.2203,0.9803921568627451,7.295913681411138e-77,2.681485158232925e-76
OSBP,4.3184,3.222,1.0963999999999996,0.7777777777777778,7.83867098795644e-42,1.2533016325376681e-41
NUBP2,6.219,5.01615,1.2028500000000006,0.9477124183006536,2.881153628271505e-57,5.824046262863113e-57
WWTR1,5.3505,2.578,2.7725000000000004,0.9673202614379085,1.9969853831753747e-74,6.422123448166262e-74
DHX33,2.9875,1.8742,1.1132999999999997,0.7320261437908496,2.718474873537697e-32,3.925144842914123e-32
PTPMT1,6.3539,5.107900000000001,1.2459999999999996,0.9411764705882353,2.630693796737299e-78,1.0789657166328342e-77
VHL,4.5928,3.2796,1.3132000000000006,0.8300653594771242,6.487329080450307e-44,1.0673919359113004e-43
SBDS,7.2443,6.227399999999999,1.0169000000000006,0.9150326797385621,1.971098702261268e-55,3.820691320136567e-55
PWP1,5.3789,3.7318499999999997,1.6470500000000001,0.9869281045751634,2.0367280789204278e-81,1.087535936480153e-80
FGFR1,5.4555,4.46735,0.9881500000000001,0.5882352941176471,4.277613562177626e-13,4.981747481877646e-13
NOP2,4.5862,3.7778,0.8083999999999998,0.6993464052287581,1.063932474788683e-25,1.3811600475467766e-25
RSL1D1,6.213,4.4569,1.7561,0.9869281045751634,4.9890923994090575e-81,2.567114816423206e-80
UFM1,5.1469,4.53955,0.6073499999999994,0.673202614379085,3.750666479361441e-28,5.054469588853751e-28
ORC4,4.546,3.3032,1.2428000000000003,0.8104575163398693,1.3995121472380407e-44,2.3435617613512753e-44
UBA5,4.6713,3.9084000000000003,0.7628999999999992,0.6928104575163399,8.909438037136895e-34,1.3132140440154901e-33
GPR61,-0.9132,1.7891,-2.7023,0.0,7.795737034325724e-58,1.5986910005175216e-57
NUP54,4.7453,3.3759,1.3694000000000002,0.9477124183006536,2.0058595030443403e-40,3.1362333666383887e-40
PTK2,5.6218,5.49205,0.12975000000000048,0.3202614379084967,0.0051388831848684065,0.005446831240890483
NSL1,5.3865,3.4939,1.8925999999999998,0.9934640522875817,1.6153846177648437e-85,1.9043238699132264e-84
POLR1H,5.142,3.091,2.051,0.9934640522875817,1.8108006092233574e-85,1.9709868169623467e-84
ODR4,3.4384,2.7073,0.7311000000000001,0.6143790849673203,7.535341114970447e-27,9.96496044643288e-27
SAP18,7.2241,6.4242,0.7999,0.8562091503267973,7.974380903709793e-48,1.4017079476707276e-47
PNO1,4.2465,2.31205,1.93445,0.9869281045751634,5.5451515928892286e-83,3.738713967768252e-82
CYFIP1,6.013,3.6714,2.3415999999999997,0.9869281045751634,2.592489742279658e-85,2.445581990217144e-84
FXN,3.7971,2.4792,1.3178999999999998,0.9673202614379085,3.586927456303525e-77,1.3534672935118633e-76
GRB2,6.1729,5.50415,0.6687500000000002,0.7516339869281046,3.0893431636747217e-41,4.884268800670091e-41
SRSF10,5.6719,4.5311,1.1407999999999996,0.8235294117647058,6.917352095026906e-38,1.046850611172521e-37
HAUS1,5.1974,2.4544,2.743,1.0,2.431593373484114e-89,1.657468094941711e-87
RABGGTB,5.4263,4.9644,0.4619,0.5686274509803921,3.731758429400143e-22,4.672954139470091e-22
UFC1,7.2653,6.3284,0.9368999999999996,0.9738562091503268,3.213249920596791e-77,1.2288509831471509e-76
TIMM9,5.7255,4.496700000000001,1.2287999999999997,0.954248366013072,1.903247725534667e-75,6.489386823208564e-75
SNAPC1,2.7401,1.0813000000000001,1.6587999999999998,0.9673202614379085,1.765548526534443e-77,6.844523739852704e-77
CDK7,4.3356,3.3869,0.9487000000000005,0.8888888888888888,2.5199183205222745e-60,5.402552156877301e-60
GPX4,8.95914177958,8.17,0.7891417795799995,0.8627450980392157,6.846538214469636e-56,1.3455349407603522e-55
RPP25L,4.7955,4.05795,0.7375499999999997,0.7712418300653595,1.088436690432427e-45,1.8555878517613065e-45
PDGFRA,4.4088,2.6704,1.7384000000000004,0.6601307189542484,2.856018114992601e-29,3.9620251301122847e-29
HAUS4,4.8763,3.419,1.4572999999999996,0.9411764705882353,2.2920547970110427e-70,6.119353844850237e-70
RPS11,11.3941,9.857050000000001,1.537049999999999,0.9803921568627451,8.274441714750064e-83,5.445737221568066e-82
EGLN1,4.5856,3.46415,1.1214500000000003,0.8431372549019608,3.314657737497393e-53,6.212239335839485e-53
ARF4,7.6477,5.5928,2.0549,0.9934640522875817,2.291232007779408e-87,5.89471507455975e-86
SETD5,5.2277,4.428699999999999,0.7990000000000004,0.5490196078431373,3.1545426648174765e-12,3.64381866997284e-12
NCKAP1,6.219,5.4152000000000005,0.8037999999999998,0.6339869281045751,3.770660427431509e-27,5.0098446054606436e-27
FOXK1,3.1062,2.38295,0.7232499999999997,0.673202614379085,3.8500565504715364e-23,4.8859462053069274e-23
C19orf25,5.3363,4.7565,0.5797999999999996,0.6928104575163399,3.7329247337754766e-33,5.417526664915179e-33
EXT1,4.0207,1.79745,2.2232499999999997,0.9673202614379085,5.9246370233426416e-80,2.7043101251709154e-79
H3C8,0.4125,-3.3076,3.7201,0.9869281045751634,6.363905720327132e-71,1.7656718812280182e-70
VBP1,6.2793,5.1404,1.1389000000000005,0.9738562091503268,1.1390583220577567e-70,3.129645680993643e-70
NOB1,4.9824,3.8115500000000004,1.1708499999999997,0.9477124183006536,9.678766387638713e-69,2.5361952663905148e-68
TAF1D,5.6642,6.2186,-0.5544000000000002,0.0392156862745098,1.4582454091830123e-20,1.7942758730382283e-20
CDK5RAP3,6.7195,6.681100000000001,0.038399999999999324,0.2222222222222222,0.8911265655938523,0.8942865888761
JTB,7.1668,6.2508,0.9160000000000004,0.9803921568627451,1.958416424560764e-65,4.657410488661313e-65
EPRS1,5.7493,4.73285,1.0164499999999999,0.8431372549019608,4.4616417497273894e-48,7.941161101716045e-48
NHP2,7.4942,6.36,1.1341999999999999,0.9673202614379085,4.047644950404459e-80,1.9414974931601046e-79
DSCC1,2.3816,-0.0425,2.4241,0.9869281045751634,2.6606351890069007e-73,8.274283060318164e-73
KIF18B,2.5213,-3.1714,5.6927,0.9934640522875817,9.06456162511081e-89,4.275451566510598e-87
MED17,4.5614,3.14175,1.4196499999999999,0.8758169934640523,1.4655682337301364e-41,2.3300888210428575e-41
ITGB5,5.613,3.7432,1.8698000000000006,0.934640522875817,1.7104309237080704e-68,4.4408435909117785e-68
BCCIP,4.9379,4.4552499999999995,0.48265000000000047,0.6666666666666666,2.9330246992046875e-28,3.9715119132771602e-28
USP10,5.4614,4.1404499999999995,1.3209500000000007,0.8954248366013072,3.881017940891639e-59,8.135763535350621e-59
TRAPPC4,6.4688,5.2939,1.1749,0.954248366013072,7.2121270205791296e-68,1.8223499525213336e-67
EIF3M,7.5724,5.763450000000001,1.8089499999999994,0.9869281045751634,2.1432414545267974e-85,2.1662047558252987e-84
EEFSEC,4.0884,2.6185,1.4699,0.9411764705882353,4.2891272850411984e-67,1.0554982797101384e-66
PSMG4,3.9645,3.93605,0.02845000000000031,0.16993464052287582,0.13903053616474856,0.14153108537634476
RRP15,3.0825,0.86865,2.21385,0.9607843137254902,2.5918974068579335e-79,1.111374191122417e-78
VCL,4.3009,2.715,1.5859000000000005,0.8758169934640523,1.585237803098638e-55,3.0939468846683764e-55
MSTO1,4.9256,4.1547,0.7709000000000001,0.6601307189542484,4.331129317860615e-23,5.471917843547117e-23
RSAD1,4.7767,4.67615,0.10055000000000014,0.1111111111111111,0.5138298242720012,0.5174869760461792
ALG1,4.4868,2.7878499999999997,1.69895,0.954248366013072,2.772375469402259e-82,1.601188281307835e-81
KIF18A,1.3283,-4.035,5.363300000000001,0.9934640522875817,2.9283888603210445e-89,1.657468094941711e-87
PPP2R1A,7.9809,7.4862,0.4946999999999999,0.5620915032679739,2.1191581052216406e-20,2.5961980250117935e-20
ACTR3,6.7702,4.62825,2.1419499999999996,0.9869281045751634,2.659762544700668e-82,1.5681516669797688e-81
PRKRA,5.44,4.4842,0.9558,0.9084967320261438,7.5633201047096e-57,1.518028077753771e-56
CTDNEP1,7.2834,5.8879,1.3955000000000002,0.9738562091503268,8.959647173963333e-82,4.971725784767888e-81
HYOU1,5.986,5.1863,0.7996999999999996,0.7777777777777778,2.0399907456197187e-40,3.172073522035057e-40
TSEN54,4.3896,4.19345,0.19614999999999938,0.22875816993464052,0.027086520619754636,0.028078700862236492
TUBB,9.0475,6.86635,2.1811499999999997,0.9803921568627451,1.5006582095529646e-82,9.035878155393384e-82
SURF4,6.7659,4.6236,2.1423000000000005,0.9934640522875817,9.753813553639176e-87,1.6237230798116982e-85
TAF1A,2.2206,0.4761,1.7445000000000002,0.8954248366013072,5.4065068710494535e-65,1.2750345370891627e-64
SNUPN,4.62064444384,3.5349500000000003,1.0856944438399996,0.9150326797385621,1.222976054471156e-70,3.327905994378242e-70
RPS3,10.4487,8.809349999999998,1.639350000000002,0.9869281045751634,1.8039048921700194e-84,1.5469851044973197e-83
BARD1,2.5087,-0.6643,3.173,1.0,2.060080638706747e-84,1.714714178688263e-83
RPS25,9.4878,8.7126,0.7751999999999999,0.9150326797385621,1.308929000291123e-57,2.664941777571135e-57
RPS17,9.9705,8.74555,1.2249499999999998,0.9803921568627451,3.067996388926829e-76,1.0853037225828658e-75
POLR1G,1.9712,1.1117,0.8595000000000002,0.6078431372549019,2.012333061147141e-21,2.508767648919123e-21
NBAS,4.6335,4.1772,0.4562999999999997,0.5882352941176471,2.077164298613212e-24,2.64791665093486e-24
FERMT2,5.8846,4.1891,1.6955,0.934640522875817,3.5073419999188374e-69,9.276427906327391e-69
USP36,4.0713,3.944,0.12729999999999997,0.19607843137254902,0.4152715310648024,0.41972086889763954
PFDN5,9.8273,8.9375,0.8897999999999993,0.934640522875817,4.601356758675296e-62,1.0253417029174085e-61
ERCC6L,-0.2498,-4.6082,4.3584000000000005,0.9869281045751634,1.3676207863413944e-83,1.0185175856174068e-82
TCP1,6.9589,6.1914,0.7675000000000001,0.6601307189542484,2.902703495256883e-32,4.1488135816045353e-32
IMP3,6.0061,5.11275,0.8933499999999999,0.9150326797385621,1.8236697102276633e-67,4.567243610570166e-67
MTOR,4.382,4.05365,0.3283499999999995,0.35947712418300654,0.0002350378472477186,0.0002529114477988759
CLCC1,4.3463,3.33285,1.0134500000000002,0.8888888888888888,1.211733310677989e-59,2.578349826480232e-59
TEAD1,3.7475,1.9968,1.7507000000000001,0.8823529411764706,3.3099095562349954e-61,7.26127445282561e-61
FOXO3,3.7248,3.26245,0.46235000000000026,0.37254901960784315,0.00011112676875135231,0.00012142422994838882
LMNA,6.5137,4.3751,2.1386000000000003,0.9477124183006536,6.534951144623337e-72,1.926449139508754e-71
TIMM10,6.1877,4.9697499999999994,1.217950000000001,0.9738562091503268,7.385432656847201e-78,2.9028853359552195e-77
ARFRP1,4.9331,4.75015,0.18294999999999995,0.29411764705882354,0.000208383858194203,0.00022508638117923455
CHMP7,4.8223,3.8146500000000003,1.00765,0.7908496732026143,2.0767873477314782e-36,3.109686875174647e-36
SGO1,2.0147,-4.6082,6.6229,1.0,1.6966925984972127e-90,4.801640053747112e-88
UTP6,5.3772,4.88045,0.49675000000000047,0.5359477124183006,8.267245680463508e-17,9.913688676149037e-17
RPTOR,3.5887,3.0181,0.5705999999999998,0.5098039215686274,1.6536815868556506e-14,1.9499662045006212e-14
RAE1,5.1301,3.4823500000000003,1.6477499999999994,0.9803921568627451,2.9658609936469234e-68,7.630351465473448e-68
MAK16,3.1327,1.7075,1.4251999999999998,0.9477124183006536,3.5025330188392334e-72,1.054486004607982e-71
CCNK,4.4122,3.1556,1.2566000000000002,0.8562091503267973,7.69720779261187e-51,1.396352439300743e-50
CCT3,7.5109,6.03705,1.4738500000000005,0.9869281045751634,6.441017010269225e-78,2.5673349491636486e-77
TOP1,5.1926,3.7545,1.4380999999999995,0.8758169934640523,1.1979573935764607e-53,2.275315049544553e-53
PFDN1,6.4608,5.7494499999999995,0.7113500000000004,0.9281045751633987,1.327019896818079e-63,3.004373046396131e-63
TUBGCP6,3.6555,4.66085,-1.00535,0.0457516339869281,1.5273475304091948e-28,2.0780738033932796e-28
PFDN4,5.2304,4.6136,0.6168000000000005,0.6601307189542484,4.686904544257373e-29,6.407700415578921e-29
TMED2,6.9088,4.6259,2.2829000000000006,0.9934640522875817,1.2386810166253366e-87,3.8949636411663364e-86
TIMM22,3.5887,2.5375500000000004,1.0511499999999994,0.8496732026143791,2.6601196677425515e-59,5.618013925157777e-59
E2F3,2.9052,1.3397,1.5655,0.8104575163398693,2.1050658816745594e-55,4.052609826625172e-55
ZFP36L1,6.5192,4.7976,1.7215999999999996,0.869281045751634,5.075348842758304e-54,9.704890016895945e-54
WBP11,4.9275,3.8152,1.1123000000000003,0.8169934640522876,1.2518358594371293e-52,2.3154872432725987e-52
SNRPB2,6.0555,4.3064,1.7491000000000003,0.9869281045751634,1.1206323470242817e-85,1.3788650182950945e-84
FRS2,3.5559,2.5911999999999997,0.9647000000000001,0.7124183006535948,4.174798183605105e-34,6.218252031369709e-34
RRP1,4.3002,3.30755,0.9926500000000003,0.803921568627451,6.950122911369024e-47,1.1993199901935572e-46
RPS29,11.2259,9.8054,1.4204999999999988,0.9477124183006536,1.806958457300418e-74,5.877807395586416e-74
WDHD1,1.9377,-0.1504,2.0881,0.9019607843137255,1.1742504311481044e-65,2.8402809573924237e-65
RPS16,10.6853,8.969000000000001,1.7162999999999986,0.9934640522875817,1.2101367592305575e-84,1.0702146964445243e-83
INTS12,4.7945,3.0199,1.7746000000000004,0.9869281045751634,2.3537971343103565e-85,2.2969813414132098e-84
TARS1,5.6017,4.2362,1.3655,0.934640522875817,9.893285880625655e-65,2.294917954276279e-64
PDCD5,6.9491,6.3831500000000005,0.5659499999999991,0.7450980392156863,9.726388205896026e-39,1.4878745201451758e-38
SRSF2,7.2969,6.3154,0.9814999999999996,0.8823529411764706,1.1808459118196625e-45,2.001074209850087e-45
CHMP3,5.9846,5.33685,0.6477500000000003,0.6666666666666666,8.294907385993175e-26,1.0817782443484186e-25
LSM6,5.2227,3.8396,1.3830999999999998,0.9803921568627451,3.92116928722867e-71,1.1096909082857136e-70
CCT4,6.7953,5.4689499999999995,1.3263500000000006,0.9869281045751634,1.1218718055427346e-75,3.871825865470657e-75
NELFB,5.6491,4.88635,0.7627499999999996,0.7908496732026143,1.268175846605116e-43,2.0745304311517215e-43
POP7,6.0005,4.8868,1.1136999999999997,0.8888888888888888,4.155686244896744e-61,8.977551200807469e-61
ELAVL1,5.5333,3.44835,2.0849499999999996,0.9738562091503268,1.126570047080836e-82,7.084873851641703e-82
