gene,freq_named,freq_masked,delta,effect,novelty_tier,rank_all,cat_selectivity,cat_dependency,cat_tractability,is_gbm_oncogene_control
KIF18A,1.0,0.0,-1.0,NAME-INFLATED (drops when masked),novel,16,0.1146010186757215,0.9101393796623478,0.6,False
VRK1,1.0,0.9885057471264368,-0.011494252873563204,evidence-carried (robust),novel,7,0.5738539898132429,0.8957106399685906,0.8,True
MET,1.0,1.0,0.0,evidence-carried (robust),approved_sm_drug,4,0.969439728353141,0.5987436199450333,1.0,True
CDK2,1.0,0.9080459770114943,-0.09195402298850575,evidence-carried (robust),has_sm_chemistry,6,0.3115449915110356,0.752601099332548,1.0,False
CDK7,1.0,0.034482758620689655,-0.9655172413793104,NAME-INFLATED (drops when masked),has_sm_chemistry,40,0.0008488964346348,0.5123674911660777,1.0,False
TEAD1,1.0,0.47126436781609193,-0.5287356321839081,NAME-INFLATED (drops when masked),has_sm_chemistry,41,0.83276740237691,0.211695131527287,0.8,False
PDGFRA,1.0,1.0,0.0,evidence-carried (robust),approved_sm_drug,2,0.9278438030560272,0.6054426776599922,1.0,True
ELAVL1,0.98,0.9195402298850575,-0.060459770114942524,evidence-carried (robust),novel,22,0.8166383701188455,0.5110669414998037,0.55,False
EGLN1,0.95,0.9885057471264368,0.03850574712643684,evidence-carried (robust),approved_sm_drug,14,0.8820033955857386,0.4728111503729878,1.0,False
KIF2C,0.86,0.28735632183908044,-0.5726436781609195,NAME-INFLATED (drops when masked),novel,1,0.8225806451612903,0.6048292108362779,0.6,False
E2F3,0.63,0.7931034482758621,0.1631034482758621,evidence-carried (robust),novel,23,0.8743633276740238,0.4465547703180212,0.0,False
WDR77,0.62,0.21839080459770116,-0.40160919540229884,NAME-INFLATED (drops when masked),novel,19,0.0093378607809847,0.627208480565371,0.6,False
PTPN11,0.6,0.0,-0.6,NAME-INFLATED (drops when masked),has_sm_chemistry,74,0.2597623089983022,0.6933156654888103,1.0,False
KIF18B,0.57,0.632183908045977,0.062183908045977065,evidence-carried (robust),novel,11,0.6740237691001698,0.7529201020808793,0.0,False
FGFR1,0.5,0.25287356321839083,-0.24712643678160917,evidence-carried (robust),approved_sm_drug,12,0.9066213921901528,0.5982528464860621,1.0,True
CDC25B,0.43,0.8735632183908046,0.44356321839080465,other/low,has_sm_chemistry,13,0.8047538200339559,0.6379073419709462,1.0,False
ITGB5,0.37,1.0,0.63,other/low,novel,5,0.7767402376910018,0.706198468786808,0.8,False
GPX4,0.3,0.0,-0.3,other/low,novel,71,0.2945670628183361,0.9144091087553985,0.6,False
PTK2,0.25,0.0,-0.25,other/low,has_sm_chemistry,15,0.5050933786078099,0.8396643109540636,1.0,False
WWTR1,0.16,0.0,-0.16,other/low,novel,85,0.7512733446519525,0.4770072634471928,0.25,False
ITGAV,0.16,0.011494252873563218,-0.14850574712643677,other/low,has_sm_chemistry,9,0.4736842105263158,0.9441990577149587,1.0,False
C3orf38,0.14,0.5402298850574713,0.40022988505747126,NAME-SUPPRESSED (rises when masked),novel,8,0.7962648556876061,0.7601099332548096,0.0,False
ERCC6L,0.12,0.21839080459770116,0.09839080459770116,other/low,novel,24,0.8981324278438031,0.5032145661562623,0.0,False
GPR61,0.05,0.06896551724137931,0.018965517241379307,not-nominated,novel,32,0.6910016977928692,0.6014674126423243,0.45,False
UBE2C,0.05,0.0,-0.05,not-nominated,novel,42,0.233446519524618,0.8067579505300353,0.0,False
SLC35B2,0.05,0.13793103448275862,0.08793103448275862,other/low,novel,62,0.7750424448217318,0.4068266588142913,0.0,False
UBA5,0.04,0.0,-0.04,not-nominated,novel,92,0.4813242784380306,0.6968001570475069,0.25,False
JUN,0.03,1.0,0.97,NAME-SUPPRESSED (rises when masked),has_sm_chemistry,3,0.8251273344651953,0.7724774244208874,1.0,False
GGPS1,0.02,0.011494252873563218,-0.008505747126436782,not-nominated,has_sm_chemistry,35,0.033106960950764,0.5547703180212014,1.0,False
OSBP,0.02,0.022988505747126436,0.002988505747126436,not-nominated,novel,80,0.632427843803056,0.3647182960345504,0.6,False
FRS2,0.01,0.0,-0.01,not-nominated,novel,63,0.9049235993208828,0.5668188064389478,0.0,False
TOP1,0.01,0.0,-0.01,not-nominated,approved_sm_drug,49,0.0212224108658743,0.6872791519434629,1.0,False
TARS1,0.01,0.022988505747126436,0.012988505747126436,not-nominated,novel,65,0.0,0.6236749116607774,0.8,False
CTDNEP1,0.0,0.034482758620689655,0.034482758620689655,not-nominated,novel,37,0.6129032258064516,0.8661660777385158,0.0,False
BRCA1,0.0,0.20689655172413793,0.20689655172413793,other/low,has_sm_chemistry,28,0.6383701188455009,0.4408127208480565,0.4,False
VHL,0.0,0.11494252873563218,0.11494252873563218,other/low,has_sm_chemistry,59,0.267402376910017,0.43951217118178243,0.8,False
RPL26L1,0.0,0.22988505747126436,0.22988505747126436,other/low,novel,98,0.6782682512733447,0.3952444051825677,0.0,False
RPP25L,0.0,0.20689655172413793,0.20689655172413793,other/low,novel,10,0.7062818336162988,0.8922997644287397,0.0,False
DSCC1,0.0,0.08045977011494253,0.08045977011494253,not-nominated,novel,36,0.8234295415959253,0.4478307813113467,0.0,False
PTPMT1,0.0,0.011494252873563218,0.011494252873563218,not-nominated,novel,57,0.4601018675721562,0.6490969768354927,0.0,False
FERMT2,0.0,0.5287356321839081,0.5287356321839081,NAME-SUPPRESSED (rises when masked),novel,20,0.5322580645161291,0.926899293286219,0.25,False
PDCL3,0.0,0.28735632183908044,0.28735632183908044,other/low,novel,25,0.7716468590831919,0.6672065174715351,0.25,False
ARHGAP11A,0.0,0.05747126436781609,0.05747126436781609,not-nominated,novel,52,0.8556876061120544,0.32476933647428347,0.0,False
AMY2A,0.0,0.8160919540229885,0.8160919540229885,NAME-SUPPRESSED (rises when masked),has_sm_chemistry,17,0.797962648556876,0.34145563407930896,1.0,False
